fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-22|Marcio Barbosa vs. Ryan Kuse,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Marcio Barbosa vs. Ryan Kuse,Marcio Barbosa,KO,0.4146294838362263,0.10167535149505041,0.4836951646687233,,,,,,,,,0.6931471805599453,0.0
2026-08-22|Reinier de Ridder vs. Roman Dolidze,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Reinier de Ridder vs. Roman Dolidze,Reinier de Ridder,KO,0.27934763544002483,0.25038750339949706,0.4702648611604782,0.39545204061184963,23.66714040001145,0.6837549619741023,1.738636363636364,0.375350677977423,10.828837538288308,0.7897434651637354,1.0167907907907907,1.9459101490553132,2.70805020110221
2026-08-22|Serghei Spivac vs. Vitor Petrino,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Serghei Spivac vs. Vitor Petrino,Vitor Petrino,DEC,0.4024417906532449,0.09276258886032061,0.5047956204864346,0.585785033565615,45.38232989945315,0.8821307311465049,1.03150220467678,0.3640363195557233,4.891587563247273,1.3494339820870431,1.386206896551724,2.302585092994046,2.772588722239781
2026-08-22|Shanelle Dyer vs. Elise Reed,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Shanelle Dyer vs. Elise Reed,Shanelle Dyer,KO,0.45162018393474274,0.08171218083447936,0.4666676352307779,0.0,168.49877706732724,0.0,1.1205543225247658,0.1279672035606216,0.0,,2.1882371198013657,0.6931471805599453,2.302585092994046
2026-08-22|Wes Schultz vs. Jackson McVey,UFC Fight Night: Hernandez vs. Rodrigues,2026-08-22T00:00:00+00:00,Wes Schultz vs. Jackson McVey,Jackson McVey,KO,0.4415291612761443,0.33609264545350326,0.22237819327035246,3.7265340431493414,299.2995236760998,1.2048192771084336,0.0,0.6248404470595561,7.509106192210702,,,1.3862943611198906,1.0986122886681096
2026-08-29|Alex Perez vs. Sumudaerji,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Alex Perez vs. Sumudaerji,Sumudaerji,DEC,0.33715267503756485,0.16074945815883118,0.502097866803604,0.2695821476711098,58.01771860452465,0.7842802403538364,0.17330280921714197,0.09872725562967903,1.9484674995548443,1.551911111111111,0.34939013548593584,2.3978952727983707,2.70805020110221
2026-08-29|Aoriqileng vs. Kai Asakura,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Aoriqileng vs. Kai Asakura,Kai Asakura,KO,0.39077554749758286,0.06985244951483112,0.539372002987586,1.3689407540394973,10.345601436265708,0.0,0.0,0.033905595451825254,,,1.6094506172839507,1.3862943611198906,2.302585092994046
2026-08-29|Bilal Hasan vs. Nilson Rojas,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Bilal Hasan vs. Nilson Rojas,Bilal Hasan,KO,0.2648504836137726,0.18798876269688003,0.5471607536893474,,,,,,,,,0.0,0.0
2026-08-29|Ding Meng vs. Cam Nelson,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Ding Meng vs. Cam Nelson,Cam Nelson,DEC,0.3993030765957369,0.20235153904938794,0.3983453843548752,,,,,,,,,0.0,0.6931471805599453
2026-08-29|Jack Jenkins vs. Sean Woodson,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Jack Jenkins vs. Sean Woodson,Sean Woodson,DEC,0.46755835434852533,0.14286101881394528,0.38958062683752936,0.4151291512915129,6.8783018083843634,0.4946206798608551,0.20756457564575648,0.10700219401056901,0.6624394912219403,0.9168202764976958,0.4736458586349283,2.302585092994046,1.9459101490553132
2026-08-29|Lawrence Lui vs. Hector Santiago,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Lawrence Lui vs. Hector Santiago,Hector Santiago,KO,0.4754881877704414,0.2192181687770411,0.3052936434525175,,,,,,,,,0.0,0.6931471805599453
2026-08-29|Liu Ce vs. Levi Rodrigues Jr.,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Liu Ce vs. Levi Rodrigues Jr.,Liu Ce,KO,0.5634845484157853,0.1797778219308725,0.25673762965334224,,,,,,,,,0.0,0.6931471805599453
2026-08-29|Namsrai Batbayar vs. Andre Lima,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Namsrai Batbayar vs. Andre Lima,Andre Lima,SUB,0.17987269208794862,0.1564778849976386,0.6636494229144129,,,,,,,0.5059319541131483,,1.6094379124341003,0.0
2026-08-29|Rei Tsuruya vs. Kevin Borjas,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Rei Tsuruya vs. Kevin Borjas,Rei Tsuruya,SUB,0.12147612353487379,0.21168347974288154,0.6668403967222447,0.0,93.80137830109084,0.4502251125562781,0.6860573143714713,0.41309614420906676,10.805402701350674,0.9055333333333333,1.4829545454545452,1.3862943611198906,1.9459101490553132
2026-08-29|Umar Nurmagomedov vs. Song Yadong,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Umar Nurmagomedov vs. Song Yadong,Song Yadong,KO,0.3984518944536933,0.1259132426010197,0.475634862945287,0.6309329802230011,6.759996216675013,0.24449396578427748,0.1800137153306918,0.14244183393693682,1.5322658091130033,1.5185459119496858,1.2217153284671534,2.833213344056216,2.302585092994046
2026-08-29|Xiao Long vs. Francesco Nuzzi,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Xiao Long vs. Francesco Nuzzi,Francesco Nuzzi,KO,0.40795379468292137,0.19944348647275345,0.3926027188443252,,,,,,,,1.1623351181925035,0.0,1.6094379124341003
2026-08-29|Xiong Jingnan vs. Julia Polastri,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Xiong Jingnan vs. Julia Polastri,Julia Polastri,KO,0.15265056316893444,0.025435023061375375,0.8219144137696902,0.0,5.141681901279707,0.41133455210237657,0.15425045703839121,0.1396343692870201,0.20566727605118829,1.1641365202411715,,1.791759469228055,0.6931471805599453
